Current 2400, new: 2450 Lacktjo 96306231043432448 valorant
Petter: Game: battlerite New: 2550, prevMmr: 2632
Robin: Game: battlerite New: 2550, prevMmr: 2618
livaitan: Game: battlerite New: 2525, prevMmr: 2592
David_: Game: battlerite New: 2500, prevMmr: 2534
Aios: Game: battlerite New: 2500, prevMmr: 2505
Banza1: Game: battlerite New: 2500, prevMmr: 2497
Simon: Game: battlerite New: 2500, prevMmr: 2456
Gaggg: Game: battlerite New: 2475, prevMmr: 2449
Samev: Game: battlerite New: 2475, prevMmr: 2445
Lacktjo: Game: battlerite New: 2450, prevMmr: 2400
Xavantex: Game: battlerite New: 2450, prevMmr: 2372
Morgan: Game: cs New: 2725, prevMmr: 2950
neevz;.;: Game: cs New: 2675, prevMmr: 2875
Petter: Game: cs New: 2675, prevMmr: 2854
PARaflaXet: Game: cs New: 2625, prevMmr: 2777
zarwil: Game: cs New: 2625, prevMmr: 2770
CATKNIFE: Game: cs New: 2625, prevMmr: 2749
Lester: Game: cs New: 2575, prevMmr: 2676
TheBarrel: Game: cs New: 2575, prevMmr: 2650
Von Dobblen: Game: cs New: 2550, prevMmr: 2625
Knas: Game: cs New: 2525, prevMmr: 2598
Morgelev: Game: cs New: 2525, prevMmr: 2575
Júan: Game: cs New: 2525, prevMmr: 2551
EcKe: Game: cs New: 2500, prevMmr: 2528
Deedoy: Game: cs New: 2500, prevMmr: 2526
Gizmo: Game: cs New: 2500, prevMmr: 2525
Glenn: Game: cs New: 2500, prevMmr: 2525
tease: Game: cs New: 2500, prevMmr: 2525
AiseC: Game: cs New: 2500, prevMmr: 2525
nadasurf: Game: cs New: 2500, prevMmr: 2525
Cheesedad: Game: cs New: 2500, prevMmr: 2499
lesunk: Game: cs New: 2500, prevMmr: 2476
Fredds: Game: cs New: 2500, prevMmr: 2476
albinkj91: Game: cs New: 2500, prevMmr: 2476
dijohn: Game: cs New: 2500, prevMmr: 2476
Coof: Game: cs New: 2500, prevMmr: 2475
dasai: Game: cs New: 2500, prevMmr: 2475
GabeTheBabe: Game: cs New: 2500, prevMmr: 2475
Book: Game: cs New: 2500, prevMmr: 2475
vatsuG: Game: cs New: 2500, prevMmr: 2475
GragasUltra: Game: cs New: 2500, prevMmr: 2475
Chrippa: Game: cs New: 2500, prevMmr: 2475
dejvan: Game: cs New: 2500, prevMmr: 2475
Casper: Game: cs New: 2500, prevMmr: 2475
malteulmgren: Game: cs New: 2500, prevMmr: 2475
ErjanDaMan: Game: cs New: 2500, prevMmr: 2475
MissTrap: Game: cs New: 2500, prevMmr: 2475
TheMatingFool: Game: cs New: 2500, prevMmr: 2475
Bambi: Game: cs New: 2500, prevMmr: 2474
Twinkz: Game: cs New: 2500, prevMmr: 2474
robyn_fenty: Game: cs New: 2500, prevMmr: 2452
Freppmeister: Game: cs New: 2475, prevMmr: 2450
Simon: Game: cs New: 2475, prevMmr: 2450
mimmibus: Game: cs New: 2475, prevMmr: 2449
Pippin: Game: cs New: 2475, prevMmr: 2426
Intro: Game: cs New: 2475, prevMmr: 2425
Svartaänkan: Game: cs New: 2475, prevMmr: 2425
Säljävel: Game: cs New: 2475, prevMmr: 2401
Banza1: Game: cs New: 2450, prevMmr: 2375
livaitan: Game: cs New: 2450, prevMmr: 2373
Lacktjo: Game: cs New: 2450, prevMmr: 2370
Aios: Game: cs New: 2425, prevMmr: 2350
NeverLucky(Simon): Game: cs New: 2425, prevMmr: 2350
Banan: Game: cs New: 2425, prevMmr: 2349
Xavantex: Game: cs New: 2400, prevMmr: 2300
Samev: Game: cs New: 2375, prevMmr: 2249
Robin: Game: cs New: 2375, prevMmr: 2201
Morgan: Game: cs1v1 New: 2500, prevMmr: 2526
Xavantex: Game: cs1v1 New: 2500, prevMmr: 2520
CATKNIFE: Game: cs1v1 New: 2500, prevMmr: 2497
Robin: Game: cs1v1 New: 2500, prevMmr: 2466
Petter: Game: cs1v1 New: 2500, prevMmr: 2457
Petter: Game: dota New: 2600, prevMmr: 2725
CATKNIFE: Game: dota New: 2575, prevMmr: 2675
Knas: Game: dota New: 2575, prevMmr: 2650
Coof: Game: dota New: 2550, prevMmr: 2625
Bisse: Game: dota New: 2550, prevMmr: 2600
Johan: Game: dota New: 2550, prevMmr: 2600
Obtained: Game: dota New: 2525, prevMmr: 2575
Paux: Game: dota New: 2525, prevMmr: 2575
Simon: Game: dota New: 2525, prevMmr: 2575
Xavantex: Game: dota New: 2525, prevMmr: 2550
Timmyapa: Game: dota New: 2525, prevMmr: 2550
Krossen: Game: dota New: 2525, prevMmr: 2550
Oskiboski: Game: dota New: 2500, prevMmr: 2525
OldSaltyCrab: Game: dota New: 2500, prevMmr: 2525
glasoegonurm: Game: dota New: 2500, prevMmr: 2525
Pippin: Game: dota New: 2500, prevMmr: 2525
Krummeluren: Game: dota New: 2500, prevMmr: 2525
Marsche: Game: dota New: 2500, prevMmr: 2525
Pigeons: Game: dota New: 2500, prevMmr: 2525
livaitan: Game: dota New: 2500, prevMmr: 2525
happy: Game: dota New: 2500, prevMmr: 2525
Krunchy: Game: dota New: 2500, prevMmr: 2525
Von Dobblen: Game: dota New: 2500, prevMmr: 2525
Pettzor: Game: dota New: 2500, prevMmr: 2475
Intro: Game: dota New: 2500, prevMmr: 2475
Lucky Luke: Game: dota New: 2500, prevMmr: 2475
Drkier: Game: dota New: 2500, prevMmr: 2475
MadChild: Game: dota New: 2500, prevMmr: 2475
blezzer: Game: dota New: 2500, prevMmr: 2475
Crispy_Crunchy: Game: dota New: 2500, prevMmr: 2475
NeverLucky(Simon): Game: dota New: 2500, prevMmr: 2475
Grimmo: Game: dota New: 2500, prevMmr: 2475
Robert: Game: dota New: 2500, prevMmr: 2475
Mads: Game: dota New: 2500, prevMmr: 2475
Cheesedad: Game: dota New: 2500, prevMmr: 2475
Aios: Game: dota New: 2475, prevMmr: 2450
Mr BJ: Game: dota New: 2475, prevMmr: 2450
Banza1: Game: dota New: 2475, prevMmr: 2425
Lacktjo: Game: dota New: 2475, prevMmr: 2425
Simon: Game: dota New: 2475, prevMmr: 2425
Jotunheim: Game: dota New: 2450, prevMmr: 2400
Samev: Game: dota New: 2450, prevMmr: 2400
Fredds: Game: dota New: 2450, prevMmr: 2400
Casper: Game: dota New: 2450, prevMmr: 2400
ErjanDaMan: Game: dota New: 2425, prevMmr: 2350
Robin: Game: dota New: 2425, prevMmr: 2350
Gaggg: Game: dota New: 2425, prevMmr: 2325
zarwil: Game: slapshot New: 2675, prevMmr: 2897
CATKNIFE: Game: slapshot New: 2525, prevMmr: 2552
Petter: Game: slapshot New: 2500, prevMmr: 2542
robyn_fenty: Game: slapshot New: 2500, prevMmr: 2536
Lacktjo: Game: slapshot New: 2500, prevMmr: 2473
Samev: Game: slapshot New: 2500, prevMmr: 2471
Robin: Game: slapshot New: 2450, prevMmr: 2400
Pippin: Game: slapshot New: 2450, prevMmr: 2396
Aios: Game: slapshot New: 2450, prevMmr: 2367
Banan: Game: slapshot New: 2450, prevMmr: 2366
Samev: Game: test New: 2525, prevMmr: 2575
